Market,Selection,BidType,Odds,Stake,ProfitLoss,Date 
08 December / Nice v FK Krasnodar / Match Odds,FK Krasnodar,Lay,1.37,5,5,12/8/2016
08 December / Nice v FK Krasnodar / Match Odds,Nice,Back,3.5,5,12.5,12/8/2016
08 December / Inter v Sparta Prague / Over/Under 2.5 Goals,Over 2.5 Goals,Back,2.1,3,3.3,12/8/2016
08 December / Red Bull Salzburg v Schalke / Over/Under 2.5 Goals,Over 2.5 Goals,Back,1.96,5,-5,12/8/2016
08 December / Red Bull Salzburg v Schalke / Over/Under 2.5 Goals,Over 2.5 Goals,Back,1.82,5,-5,12/8/2016
08 December / Inter v Sparta Prague / Over/Under 2.5 Goals,Over 2.5 Goals,Back,1.94,7,6.58,12/8/2016
08 December / AZ Alkmaar v Zenit St Petersburg / Match Odds,Az Alkmaar,Lay,1.51,6,-3.06,12/8/2016
08 December / APOEL v Olympiakos / Over/Under 2.5 Goals,Under 2.5 Goals,Back,1.8,7,5.6,12/8/2016
08 December / AZ Alkmaar v Zenit St Petersburg / Match Odds,Zenit St Petersburg,Back,2.94,4,-4,12/8/2016
08 December / AZ Alkmaar v Zenit St Petersburg / Match Odds,Zenit St Petersburg,Back,2.94,2,-2,12/8/2016
09 December / Sassuolo v Genk / Over/Under 2.5 Goals,Over 2.5 Goals,Back,1.84,3,-3,12/9/2016
10 December  / Real Madrid v Deportivo / Match Odds,Deportivo,Back,17,1.02,-1.02,12/10/2016
10 December  / Real Madrid v Deportivo / Match Odds,Deportivo,Lay,1.56,2,2,12/10/2016
10 December  / Real Madrid v Deportivo / Match Odds,Deportivo,Lay,1.53,8,8,12/10/2016
10 December  / Sampdoria v Lazio / Match Odds,Lazio,Lay,1.4,8,-3.2,12/10/2016
